Period,Altman Z-Score
1720,6.683675207
1721,101.3636412
1722,70.25456691
1723,51.43547426
1724,56.83748524
1725,13.12516647
1726,24.76306969
1727,14.75600136
1728,25.24467744
1729,32.27321331
1730,18.84720846
1731,43.34523953
1732,24.22530368
1733,13.90998192
1734,9.681839185
1735,32.3323335
1736,9.583267314
1737,23.8824081
1738,91.5930371
1739,161.9746233
1740,138.6357081
1741,16.40283
1742,13.0856785
1743,41.88983874
1744,26.12274264
1745,26.04536788
1746,279.9872364
1747,31.86008262
1748,59.88555215
1749,21.87638813
1750,30.7485495
1751,14.48517974
1752,66.31987279
1753,12.60926274
1754,8.476696276
1755,30.57577551
1756,8.075439341
1757,27.287458
1758,23.50342508
1759,12.93485688
1760,12.623355
1761,8.715704533
1762,83.00765549
1763,14.91752911
1764,81.61514295
1765,55.31718336
1766,28.87875235
1767,12.82112391
1768,37.61186628
1769,13.19527182
1770,342.0459827
1771,12.94671902
1772,34.00243408
1773,22.20981983
1774,54.12256453
1775,120.3087477
1776,20.81353968
1777,24.8157434
1778,54.14240884
1779,25.03659264
1780,36.28082385
1781,19.57014807
1782,17.03193428
1783,19.21898797
1784,57.31363959
1785,15.853506
1786,252.6274016
1787,15.71686411
1788,41.55768201
1789,9.527467937
1790,41.62046167
1791,54.03350818
1792,9.171032343
1793,9.060254143
1794,18.49241143
1795,24.16899384
1796,37.61023843
1797,12.30489057
1798,17.12328123
1799,12.80281868
1800,13.42539598
1801,13.74532786
1802,63.18425379
1803,29.81292051
1804,62.1745505
1805,61.4858912
1806,31.01462533
1807,36.11725581
1808,76.126369
1809,58.90026465
1810,69.298122
1811,13.38131414
1812,32.8863458
1813,26.39812213
1814,25.71982617
1815,8.437434558
1816,17.61754398
1817,16.1763656
1818,41.49612364
1819,30.05140724
1820,12.32410127
1821,21.74768641
1822,35.12308667
1823,36.1847584
1824,9.854834552
1825,17.80057197
1826,72.51139898
1827,25.87961046
1828,51.13193479
1829,183.2318477
1830,10.36731515
1831,22.06218612
1832,19.73876562
1833,50.23633123
1834,12.55280214
1835,332.538861
1836,100.3701191
1837,38.14005306
1838,61.78151145
1839,10.30001138
1840,12.9187048
1841,27.62822506
1842,28.82572289
1843,16.2282707
1844,35.1911104
1845,17.16471013
1846,33.5458934
1847,6.101088215
1848,52.84738174
1849,45.77990562
1850,162.2557429
1851,24.21735645
1852,9.607100413
1853,28.32914404
1854,21.10474023
1855,26.92018428
1856,128.142582
1857,33.68281477
1858,47.98545811
1859,25.81463452
1860,26.47493387
1861,32.92932236
1862,6.388022319
1863,12.03611795
1864,8.842508503
1865,8.901559206
1866,4.084106816
1867,17.62283208
1868,8.19244015
1869,32.24702425
1870,4.673257566
1871,3.260691951
1872,17.40214224
1873,13.81087693
1874,7.296460493
1875,75.27420253
1876,20.07418546
1877,66.08552739
1878,40.75199756
1879,29.05904273
1880,15.31368518
1881,26.24815763
1882,13.09330995
1883,167.552665
1884,56.39195213
1885,20.67647682
1886,91.1428109
1887,13.86994917
1888,32.76640287
1889,72.25902592
1890,17.54963342
1891,16.32752761
1892,34.91872766
1893,17.06121499
1894,14.87366026
1895,39.95814724
1896,8.598965315
1897,42.46148926
1898,97.01615596
1899,11.8915877
1900,24.08649509
1901,63.38791918
1902,11.66530455
1903,10.64530457
1904,13.31586443
1905,11.48398385
1906,62.85145954
1907,28.33953647
1908,44.52572499
1909,23.08868317
1910,37.05193531
1911,31.26082433
1912,117.8528169
1913,27.33114097
1914,33.03335434
1915,37.66603027
1916,49.40309015
1917,9.020679353
1918,16.05735284
1919,16.39008318
1920,71.9213474
1921,13.71680521
1922,28.03464112
1923,86.07025755
1924,103.3979384
1925,17.46654273
1926,21.03276223
1927,57.95250266
1928,140.6369914
1929,54.00890456
1930,21.90172618
1931,10.90870042
1932,29.6297339
1933,11.25656798
1934,16.72701756
1935,22.64476803
1936,8.033019034
1937,41.30805479
1938,35.81154399
1939,56.62574598
1940,30.39466356
1941,12.92794642
1942,21.29269854
1943,22.44208733
1944,21.49228718
1945,23.22428956
1946,51.57434368
1947,25.71585031
1948,25.35910136
1949,12.15181555
1950,22.1460165
1951,14.86722943
1952,6.228617709
1953,14.59767021
1954,20.46268924
1955,22.636639
1956,6.380981586
1957,120.2394683
1958,28.60391519
1959,12.42313751
1960,12.34808492
1961,184.2722628
1962,64.30456542
1963,18.11635796
1964,8.936120857
1965,32.39755961
1966,24.98558677
1967,21.31467612
1968,5.084629724
1969,41.96336926
1970,48.92310573
1971,13.79859286
1972,10.61955008
1973,8.442957824
1974,19.93703265
1975,29.66033213
1976,36.86166429
1977,14.85938811
1978,58.1643686
1979,10.59055857
